gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
Potri.003G047600.v4.1	Potri.003G047600.5.v4.1	1125.00	955.92	146.00	14.96	11.62
Potri.003G047700.v4.1	Potri.003G047700.1.v4.1	842.00	672.92	105.00	15.29	11.87
Potri.003G047800.v4.1	Potri.003G047800.1.v4.1	1917.00	1747.92	3.00	0.17	0.13
Potri.003G048100.v4.1	Potri.003G048100.1.v4.1,Potri.003G048100.2.v4.1	1832.99	1663.92	256.00	15.07	11.70
Potri.003G048150.v4.1	Potri.003G048150.1.v4.1	114.00	0.00	0.00	0.00	0.00
Potri.003G048200.v4.1	Potri.003G048200.2.v4.1	670.00	500.93	78.00	15.26	11.84
Potri.003G048300.v4.1	Potri.003G048300.1.v4.1,Potri.003G048300.3.v4.1	1193.58	1024.50	145.00	13.87	10.77
Potri.003G048600.v4.1	Potri.003G048600.1.v4.1	3548.00	3378.92	81.00	2.35	1.82
Potri.003G048700.v4.1	Potri.003G048700.1.v4.1	1011.00	841.92	230.00	26.77	20.78
Potri.003G048800.v4.1	Potri.003G048800.1.v4.1	3963.00	3793.92	194.00	5.01	3.89
Potri.003G048900.v4.1	Potri.003G048900.8.v4.1	3014.00	2844.92	220.00	7.58	5.88
Potri.003G049100.v4.1	Potri.003G049100.1.v4.1	1773.00	1603.92	208.00	12.71	9.86
Potri.003G049300.v4.1	Potri.003G049300.1.v4.1	2669.00	2499.92	97.00	3.80	2.95
Potri.003G049600.v4.1	Potri.003G049600.1.v4.1	4647.00	4477.92	0.00	0.00	0.00
Potri.003G049700.v4.1	Potri.003G049700.1.v4.1	2914.00	2744.92	194.00	6.92	5.38
Potri.003G049800.v4.1	Potri.003G049800.2.v4.1,Potri.003G049800.3.v4.1	598.50	429.43	0.00	0.00	0.00
Potri.003G050100.v4.1	Potri.003G050100.1.v4.1	4475.00	4305.92	81.00	1.84	1.43
Potri.003G050200.v4.1	Potri.003G050200.1.v4.1	1485.00	1315.92	110.00	8.19	6.36
Potri.003G050400.v4.1	Potri.003G050400.1.v4.1	1278.00	1108.92	2.00	0.18	0.14
Potri.003G050500.v4.1	Potri.003G050500.1.v4.1	988.00	818.92	0.00	0.00	0.00
Potri.003G050600.v4.1	Potri.003G050600.1.v4.1,Potri.003G050600.3.v4.1	3341.69	3172.61	1179.00	36.41	28.27
Potri.003G050700.v4.1	Potri.003G050700.2.v4.1	1085.00	915.92	22.00	2.35	1.83
Potri.003G050900.v4.1	Potri.003G050900.3.v4.1	1115.00	945.92	95.00	9.84	7.64
Potri.003G051100.v4.1	Potri.003G051100.1.v4.1	1879.00	1709.92	0.00	0.00	0.00
Potri.003G051200.v4.1	Potri.003G051200.1.v4.1	1577.00	1407.92	162.00	11.27	8.75
Potri.003G051300.v4.1	Potri.003G051300.4.v4.1	1575.00	1405.92	519.00	36.17	28.08
Potri.003G051400.v4.1	Potri.003G051400.1.v4.1	977.00	807.92	939.00	113.87	88.40
Potri.003G051500.v4.1	Potri.003G051500.1.v4.1	1484.00	1314.92	227.00	16.91	13.13
Potri.003G051600.v4.1	Potri.003G051600.2.v4.1,Potri.003G051600.4.v4.1	1607.16	1438.08	58.00	3.95	3.07
Potri.003G051700.v4.1	Potri.003G051700.2.v4.1,Potri.003G051700.7.v4.1	782.89	613.82	297.00	47.41	36.80
Potri.003G051900.v4.1	Potri.003G051900.4.v4.1	813.00	643.93	159.00	24.19	18.78
Potri.003G052000.v4.1	Potri.003G052000.2.v4.1	1103.00	933.92	59.00	6.19	4.81
Potri.003G052100.v4.1	Potri.003G052100.1.v4.1,Potri.003G052100.2.v4.1	3597.39	3428.31	880.00	25.15	19.52
Potri.003G052150.v4.1	Potri.003G052150.1.v4.1	297.00	129.54	0.00	0.00	0.00
Potri.003G052200.v4.1	Potri.003G052200.12.v4.1,Potri.003G052200.8.v4.1	1357.95	1188.88	985.00	81.18	63.02
Potri.003G052400.v4.1	Potri.003G052400.1.v4.1,Potri.003G052400.3.v4.1	2710.00	2540.92	639.00	24.64	19.13
Potri.003G052500.v4.1	Potri.003G052500.1.v4.1	435.00	266.04	7838.00	2886.59	2240.90
Potri.003G052600.v4.1	Potri.003G052600.1.v4.1,Potri.003G052600.2.v4.1	2292.00	2122.92	0.00	0.00	0.00
Potri.003G052700.v4.1	Potri.003G052700.1.v4.1	1400.00	1230.92	2108.00	167.79	130.26
Potri.003G052800.v4.1	Potri.003G052800.1.v4.1	285.00	117.97	26.00	21.59	16.76
Potri.003G052900.v4.1	Potri.003G052900.1.v4.1	1216.00	1046.92	103.00	9.64	7.48
Potri.003G053000.v4.1	Potri.003G053000.1.v4.1	2036.00	1866.92	41.00	2.15	1.67
Potri.003G053100.v4.1	Potri.003G053100.1.v4.1	288.00	120.85	39.00	31.62	24.55
Potri.003G053200.v4.1	Potri.003G053200.1.v4.1,Potri.003G053200.5.v4.1,Potri.003G053200.7.v4.1,Potri.003G053200.8.v4.1	4117.17	3948.10	186.00	4.62	3.58
Potri.003G053301.v4.1	Potri.003G053301.1.v4.1,Potri.003G053301.2.v4.1	2443.76	2274.69	158.00	6.81	5.28
Potri.003G053400.v4.1	Potri.003G053400.1.v4.1	1047.00	877.92	782.00	87.27	67.75
Potri.003G053500.v4.1	Potri.003G053500.1.v4.1	661.00	491.93	115.00	22.90	17.78
Potri.003G053600.v4.1	Potri.003G053600.1.v4.1	1313.00	1143.92	21.00	1.80	1.40
Potri.003G053700.v4.1	Potri.003G053700.1.v4.1	1329.00	1159.92	0.00	0.00	0.00
Potri.003G053800.v4.1	Potri.003G053800.1.v4.1,Potri.003G053800.2.v4.1	2974.41	2805.33	225.00	7.86	6.10
Potri.003G053900.v4.1	Potri.003G053900.1.v4.1	1892.00	1722.92	8.00	0.45	0.35
Potri.003G054001.v4.1	Potri.003G054001.2.v4.1	647.00	477.93	63.00	12.92	10.03
Potri.003G054100.v4.1	Potri.003G054100.1.v4.1	567.00	397.94	0.00	0.00	0.00
Potri.003G054301.v4.1	Potri.003G054301.1.v4.1	740.00	570.93	0.00	0.00	0.00
Potri.003G054500.v4.1	Potri.003G054500.1.v4.1	2521.00	2351.92	0.00	0.00	0.00
Potri.003G054601.v4.1	Potri.003G054601.1.v4.1	1484.00	1314.92	0.00	0.00	0.00
Potri.003G054700.v4.1	Potri.003G054700.1.v4.1	1697.00	1527.92	0.00	0.00	0.00
Potri.003G054800.v4.1	Potri.003G054800.1.v4.1	2677.00	2507.92	252.00	9.84	7.64
Potri.003G054900.v4.1	Potri.003G054900.2.v4.1,Potri.003G054900.4.v4.1	1044.65	875.57	177.00	19.81	15.38
Potri.003G055000.v4.1	Potri.003G055000.1.v4.1,Potri.003G055000.2.v4.1	2003.00	1833.92	14.00	0.75	0.58
Potri.003G055100.v4.1	Potri.003G055100.1.v4.1	781.00	611.93	10.00	1.60	1.24
Potri.003G055200.v4.1	Potri.003G055200.1.v4.1,Potri.003G055200.2.v4.1	1105.80	936.73	359.00	37.55	29.15
Potri.003G055501.v4.1	Potri.003G055501.1.v4.1	1717.00	1547.92	0.00	0.00	0.00
Potri.003G055600.v4.1	Potri.003G055600.5.v4.1	4308.00	4138.92	131.00	3.10	2.41
Potri.003G055800.v4.1	Potri.003G055800.1.v4.1,Potri.003G055800.5.v4.1	3281.17	3112.09	2462.00	77.51	60.17
Potri.003G055900.v4.1	Potri.003G055900.1.v4.1	1043.00	873.92	0.00	0.00	0.00
Potri.003G056000.v4.1	Potri.003G056000.1.v4.1	2379.00	2209.92	651.00	28.86	22.41
Potri.003G056100.v4.1	Potri.003G056100.5.v4.1	456.00	287.00	50.00	17.07	13.25
Potri.003G056200.v4.1	Potri.003G056200.1.v4.1,Potri.003G056200.3.v4.1	2253.00	2083.92	5.00	0.24	0.18
Potri.003G056300.v4.1	Potri.003G056300.10.v4.1,Potri.003G056300.11.v4.1,Potri.003G056300.12.v4.1,Potri.003G056300.13.v4.1,Potri.003G056300.14.v4.1,Potri.003G056300.15.v4.1,Potri.003G056300.9.v4.1	3424.02	3254.95	1449.94	43.64	33.88
Potri.003G056400.v4.1	Potri.003G056400.8.v4.1,Potri.003G056400.9.v4.1	2220.82	2051.75	633.00	30.23	23.47
Potri.003G056450.v4.1	Potri.003G056450.1.v4.1	360.00	191.39	0.00	0.00	0.00
Potri.003G056500.v4.1	Potri.003G056500.10.v4.1,Potri.003G056500.11.v4.1,Potri.003G056500.12.v4.1,Potri.003G056500.13.v4.1,Potri.003G056500.5.v4.1,Potri.003G056500.8.v4.1,Potri.003G056500.9.v4.1	2882.31	2713.23	675.00	24.37	18.92
Potri.003G056600.v4.1	Potri.003G056600.1.v4.1,Potri.003G056600.2.v4.1	2685.00	2515.92	648.00	25.23	19.59
Potri.003G056700.v4.1	Potri.003G056700.3.v4.1,Potri.003G056700.5.v4.1,Potri.003G056700.6.v4.1	3577.10	3408.02	816.00	23.46	18.21
Potri.003G056850.v4.1	Potri.003G056850.1.v4.1	510.00	340.96	0.00	0.00	0.00
Potri.003G056900.v4.1	Potri.003G056900.1.v4.1	960.00	790.92	3.00	0.37	0.29
Potri.003G057001.v4.1	Potri.003G057001.1.v4.1	1624.00	1454.92	11.84	0.80	0.62
Potri.003G057100.v4.1	Potri.003G057100.1.v4.1	1664.00	1494.92	115.14	7.55	5.86
Potri.003G057200.v4.1	Potri.003G057200.1.v4.1	1662.00	1492.92	5219.02	342.51	265.90
Potri.003G057250.v4.1	Potri.003G057250.1.v4.1	1011.00	841.92	0.00	0.00	0.00
Potri.003G057301.v4.1	Potri.003G057301.1.v4.1	1638.00	1468.92	0.00	0.00	0.00
Potri.003G057351.v4.1	Potri.003G057351.1.v4.1	2220.00	2050.92	0.00	0.00	0.00
Potri.003G057400.v4.1	Potri.003G057400.1.v4.1	1739.00	1569.92	0.00	0.00	0.00
Potri.003G057700.v4.1	Potri.003G057700.3.v4.1	777.00	607.93	0.00	0.00	0.00
Potri.003G057800.v4.1	Potri.003G057800.1.v4.1,Potri.003G057800.4.v4.1	2228.27	2059.19	543.00	25.84	20.06
Potri.003G058200.v4.1	Potri.003G058200.1.v4.1,Potri.003G058200.2.v4.1	1909.00	1739.92	1.00	0.06	0.04
Potri.003G058300.v4.1	Potri.003G058300.1.v4.1	2890.00	2720.92	1657.00	59.67	46.32
Potri.003G058400.v4.1	Potri.003G058400.2.v4.1	1509.00	1339.92	463.00	33.86	26.28
Potri.003G058500.v4.1	Potri.003G058500.8.v4.1	1707.00	1537.92	1668.00	106.26	82.49
Potri.003G058551.v4.1	Potri.003G058551.1.v4.1	651.00	481.93	1.00	0.20	0.16
Potri.003G058600.v4.1	Potri.003G058600.1.v4.1	2541.00	2371.92	7.00	0.29	0.22
Potri.003G058700.v4.1	Potri.003G058700.1.v4.1	3183.00	3013.92	130.00	4.23	3.28
Potri.003G058800.v4.1	Potri.003G058800.1.v4.1	1903.00	1733.92	380.00	21.47	16.67
Potri.003G058900.v4.1	Potri.003G058900.1.v4.1	2584.00	2414.92	3178.00	128.94	100.09
Potri.003G059200.v4.1	Potri.003G059200.1.v4.1	1541.00	1371.92	323.00	23.07	17.91
Potri.003G059300.v4.1	Potri.003G059300.1.v4.1	3316.00	3146.92	106.00	3.30	2.56
Potri.003G059400.v4.1	Potri.003G059400.2.v4.1	2957.00	2787.92	1427.00	50.15	38.93
Potri.003G059500.v4.1	Potri.003G059500.1.v4.1	1847.00	1677.92	379.00	22.13	17.18
Potri.003G059700.v4.1	Potri.003G059700.5.v4.1,Potri.003G059700.6.v4.1,Potri.003G059700.7.v4.1	2960.03	2790.95	1000.00	35.11	27.25
Potri.003G059800.v4.1	Potri.003G059800.1.v4.1	1533.00	1363.92	0.00	0.00	0.00
Potri.003G059900.v4.1	Potri.003G059900.1.v4.1	926.00	756.92	4.00	0.52	0.40
Potri.003G060000.v4.1	Potri.003G060000.1.v4.1,Potri.003G060000.5.v4.1	2304.00	2134.92	7.00	0.32	0.25
Potri.003G060100.v4.1	Potri.003G060100.5.v4.1	1655.00	1485.92	450.00	29.67	23.03
Potri.003G060300.v4.1	Potri.003G060300.3.v4.1	1188.00	1018.92	21.00	2.02	1.57
Potri.003G060366.v4.1	Potri.003G060366.1.v4.1	507.00	337.96	2.00	0.58	0.45
Potri.003G060432.v4.1	Potri.003G060432.1.v4.1	282.00	115.10	0.00	0.00	0.00
Potri.003G060500.v4.1	Potri.003G060500.1.v4.1	3300.00	3130.92	161.00	5.04	3.91
Potri.003G060600.v4.1	Potri.003G060600.2.v4.1	1098.00	928.92	260.00	27.42	21.29
Potri.003G060800.v4.1	Potri.003G060800.3.v4.1	1978.00	1808.92	0.00	0.00	0.00
Potri.003G060900.v4.1	Potri.003G060900.4.v4.1	1637.00	1467.92	46.00	3.07	2.38
Potri.003G061000.v4.1	Potri.003G061000.1.v4.1	466.00	296.99	27.85	9.19	7.13
Potri.003G061200.v4.1	Potri.003G061200.1.v4.1	470.00	300.99	5.15	1.68	1.30
Potri.003G061300.v4.1	Potri.003G061300.1.v4.1,Potri.003G061300.3.v4.1	946.00	776.92	36.00	4.54	3.52
Potri.003G061400.v4.1	Potri.003G061400.10.v4.1,Potri.003G061400.11.v4.1,Potri.003G061400.12.v4.1,Potri.003G061400.13.v4.1,Potri.003G061400.14.v4.1,Potri.003G061400.15.v4.1,Potri.003G061400.16.v4.1,Potri.003G061400.17.v4.1,Potri.003G061400.18.v4.1,Potri.003G061400.19.v4.1,Potri.003G061400.2.v4.1,Potri.003G061400.20.v4.1,Potri.003G061400.21.v4.1,Potri.003G061400.22.v4.1,Potri.003G061400.23.v4.1,Potri.003G061400.6.v4.1,Potri.003G061400.7.v4.1,Potri.003G061400.8.v4.1,Potri.003G061400.9.v4.1	1574.33	1405.26	12.00	0.84	0.65
Potri.003G061600.v4.1	Potri.003G061600.1.v4.1	1618.00	1448.92	31.00	2.10	1.63
Potri.003G061700.v4.1	Potri.003G061700.1.v4.1	2623.00	2453.92	115.30	4.60	3.57
Potri.003G061800.v4.1	Potri.003G061800.4.v4.1,Potri.003G061800.5.v4.1	1986.44	1817.36	1298.00	69.98	54.32
Potri.003G062000.v4.1	Potri.003G062000.1.v4.1,Potri.003G062000.2.v4.1	1257.00	1087.92	27.00	2.43	1.89
Potri.003G062100.v4.1	Potri.003G062100.1.v4.1,Potri.003G062100.2.v4.1	3622.00	3452.92	2.00	0.06	0.04
Potri.003G062200.v4.1	Potri.003G062200.1.v4.1	858.00	688.92	22.00	3.13	2.43
Potri.003G062300.v4.1	Potri.003G062300.1.v4.1	1148.00	978.92	0.00	0.00	0.00
Potri.003G062400.v4.1	Potri.003G062400.1.v4.1	1011.00	841.92	2.00	0.23	0.18
Potri.003G062600.v4.1	Potri.003G062600.2.v4.1	1584.00	1414.92	63.00	4.36	3.39
Potri.003G062700.v4.1	Potri.003G062700.1.v4.1,Potri.003G062700.3.v4.1,Potri.003G062700.4.v4.1,Potri.003G062700.5.v4.1,Potri.003G062700.6.v4.1	2545.63	2376.56	104.00	4.29	3.33
Potri.003G062800.v4.1	Potri.003G062800.1.v4.1	985.00	815.92	530.00	63.64	49.41
Potri.003G062901.v4.1	Potri.003G062901.1.v4.1	99.00	0.00	0.00	0.00	0.00
Potri.003G063000.v4.1	Potri.003G063000.1.v4.1,Potri.003G063000.10.v4.1,Potri.003G063000.11.v4.1,Potri.003G063000.12.v4.1,Potri.003G063000.13.v4.1,Potri.003G063000.14.v4.1,Potri.003G063000.5.v4.1	2682.83	2513.76	502.00	19.57	15.19
Potri.003G063100.v4.1	Potri.003G063100.1.v4.1	2777.00	2607.92	82.00	3.08	2.39
Potri.003G063150.v4.1	Potri.003G063150.1.v4.1,Potri.003G063150.2.v4.1,Potri.003G063150.3.v4.1	590.00	420.94	0.00	0.00	0.00
Potri.003G063200.v4.1	Potri.003G063200.1.v4.1	1927.00	1757.92	276.00	15.38	11.94
Potri.003G063300.v4.1	Potri.003G063300.1.v4.1,Potri.003G063300.3.v4.1,Potri.003G063300.5.v4.1	3454.57	3285.50	606.00	18.07	14.03
Potri.003G063400.v4.1	Potri.003G063400.1.v4.1	1875.00	1705.92	135.00	7.75	6.02
Potri.003G063500.v4.1	Potri.003G063500.2.v4.1,Potri.003G063500.5.v4.1	1636.40	1467.32	449.00	29.98	23.27
Potri.003G063700.v4.1	Potri.003G063700.10.v4.1,Potri.003G063700.2.v4.1,Potri.003G063700.8.v4.1	2464.25	2295.17	406.00	17.33	13.45
Potri.003G063800.v4.1	Potri.003G063800.2.v4.1	1153.00	983.92	277.00	27.58	21.41
Potri.003G063900.v4.1	Potri.003G063900.1.v4.1	876.00	706.92	238.00	32.99	25.61
Potri.003G064000.v4.1	Potri.003G064000.10.v4.1,Potri.003G064000.11.v4.1,Potri.003G064000.6.v4.1,Potri.003G064000.9.v4.1	6124.37	5955.29	426.00	7.01	5.44
Potri.003G064100.v4.1	Potri.003G064100.2.v4.1	2437.00	2267.92	656.00	28.34	22.00
Potri.003G064200.v4.1	Potri.003G064200.1.v4.1,Potri.003G064200.2.v4.1	2451.50	2282.42	0.00	0.00	0.00
Potri.003G064300.v4.1	Potri.003G064300.1.v4.1	591.00	421.94	62.00	14.40	11.18
Potri.003G064600.v4.1	Potri.003G064600.1.v4.1	1521.00	1351.92	6.00	0.43	0.34
Potri.003G064700.v4.1	Potri.003G064700.1.v4.1,Potri.003G064700.2.v4.1,Potri.003G064700.3.v4.1	2159.00	1989.92	1.00	0.05	0.04
Potri.003G064900.v4.1	Potri.003G064900.1.v4.1	504.00	334.96	29.00	8.48	6.59
Potri.003G065000.v4.1	Potri.003G065000.1.v4.1,Potri.003G065000.2.v4.1	2040.00	1870.92	0.00	0.00	0.00
Potri.003G065133.v4.1	Potri.003G065133.1.v4.1,Potri.003G065133.2.v4.1	249.00	84.13	0.34	0.40	0.31
Potri.003G065266.v4.1	Potri.003G065266.1.v4.1	1265.00	1095.92	316.00	28.25	21.93
Potri.003G065400.v4.1	Potri.003G065400.1.v4.1	2081.00	1911.92	13.00	0.67	0.52
Potri.003G065500.v4.1	Potri.003G065500.1.v4.1	1608.00	1438.92	143.00	9.74	7.56
Potri.003G065701.v4.1	Potri.003G065701.1.v4.1	312.00	144.12	5.00	3.40	2.64
Potri.003G065900.v4.1	Potri.003G065900.1.v4.1	540.00	370.94	1.00	0.26	0.21
Potri.003G066000.v4.1	Potri.003G066000.1.v4.1	3085.00	2915.92	1332.00	44.76	34.74
Potri.003G066101.v4.1	Potri.003G066101.1.v4.1	462.00	292.99	0.00	0.00	0.00
Potri.003G066200.v4.1	Potri.003G066200.1.v4.1,Potri.003G066200.2.v4.1	3789.00	3619.92	273.00	7.39	5.74
Potri.003G066300.v4.1	Potri.003G066300.1.v4.1	2181.00	2011.92	14.00	0.68	0.53
Potri.003G066400.v4.1	Potri.003G066400.1.v4.1	1908.00	1738.92	313.00	17.64	13.69
Potri.003G066600.v4.1	Potri.003G066600.1.v4.1	1812.00	1642.92	28.26	1.69	1.31
Potri.003G066800.v4.1	Potri.003G066800.2.v4.1	2129.00	1959.92	61.74	3.09	2.40
Potri.003G066900.v4.1	Potri.003G066900.1.v4.1	2709.00	2539.92	108.00	4.17	3.23
Potri.003G067000.v4.1	Potri.003G067000.1.v4.1	2761.00	2591.92	2155.00	81.46	63.24
Potri.003G067100.v4.1	Potri.003G067100.1.v4.1	333.00	164.71	184.00	109.45	84.97
Potri.003G067200.v4.1	Potri.003G067200.1.v4.1	390.00	221.19	3.00	1.33	1.03
Potri.003G067266.v4.1	Potri.003G067266.1.v4.1	711.00	541.93	0.00	0.00	0.00
Potri.003G067332.v4.1	Potri.003G067332.1.v4.1	204.00	45.25	0.00	0.00	0.00
Potri.003G067400.v4.1	Potri.003G067400.1.v4.1	201.00	42.88	2.00	4.57	3.55
Potri.003G067501.v4.1	Potri.003G067501.1.v4.1	138.00	5.73	0.00	0.00	0.00
Potri.003G067600.v4.1	Potri.003G067600.4.v4.1,Potri.003G067600.5.v4.1	2702.04	2532.96	420.00	16.25	12.61
Potri.003G067700.v4.1	Potri.003G067700.5.v4.1,Potri.003G067700.8.v4.1,Potri.003G067700.9.v4.1	2326.73	2157.65	547.88	24.88	19.31
Potri.003G067800.v4.1	Potri.003G067800.1.v4.1	1232.00	1062.92	533.00	49.13	38.14
Potri.003G067900.v4.1	Potri.003G067900.1.v4.1,Potri.003G067900.3.v4.1,Potri.003G067900.4.v4.1	2758.99	2589.91	345.00	13.05	10.13
Potri.003G068000.v4.1	Potri.003G068000.17.v4.1,Potri.003G068000.2.v4.1,Potri.003G068000.9.v4.1	2622.46	2453.39	172.00	6.87	5.33
Potri.003G068100.v4.1	Potri.003G068100.10.v4.1,Potri.003G068100.11.v4.1,Potri.003G068100.12.v4.1,Potri.003G068100.5.v4.1,Potri.003G068100.6.v4.1,Potri.003G068100.7.v4.1,Potri.003G068100.8.v4.1,Potri.003G068100.9.v4.1	1321.87	1152.80	38.00	3.23	2.51
Potri.003G068300.v4.1	Potri.003G068300.1.v4.1	1650.00	1480.92	1.00	0.07	0.05
Potri.003G068350.v4.1	Potri.003G068350.1.v4.1	300.00	132.44	23.00	17.01	13.21
Potri.003G068400.v4.1	Potri.003G068400.1.v4.1	387.00	218.20	166.00	74.54	57.86
Potri.003G068500.v4.1	Potri.003G068500.4.v4.1,Potri.003G068500.5.v4.1,Potri.003G068500.6.v4.1,Potri.003G068500.7.v4.1	2242.25	2073.17	201.00	9.50	7.37
Potri.003G068700.v4.1	Potri.003G068700.1.v4.1	2558.00	2388.92	448.00	18.37	14.26
Potri.003G068800.v4.1	Potri.003G068800.1.v4.1	2849.00	2679.92	0.00	0.00	0.00
Potri.003G068900.v4.1	Potri.003G068900.1.v4.1	1261.00	1091.92	287.00	25.75	19.99
Potri.003G069000.v4.1	Potri.003G069000.2.v4.1	1918.00	1748.92	1981.14	110.99	86.16
Potri.003G069200.v4.1	Potri.003G069200.1.v4.1,Potri.003G069200.4.v4.1,Potri.003G069200.5.v4.1,Potri.003G069200.6.v4.1	4866.60	4697.52	767.00	16.00	12.42
Potri.003G069300.v4.1	Potri.003G069300.1.v4.1	1540.00	1370.92	17.65	1.26	0.98
Potri.003G069400.v4.1	Potri.003G069400.1.v4.1,Potri.003G069400.6.v4.1,Potri.003G069400.7.v4.1,Potri.003G069400.8.v4.1	1515.92	1346.85	118.38	8.61	6.69
Potri.003G069600.v4.1	Potri.003G069600.1.v4.1,Potri.003G069600.5.v4.1	1380.90	1211.82	152.97	12.37	9.60
Potri.003G069700.v4.1	Potri.003G069700.2.v4.1	1720.00	1550.92	1.00	0.06	0.05
Potri.003G069802.v4.1	Potri.003G069802.1.v4.1	1042.00	872.92	6.52	0.73	0.57
Potri.003G069900.v4.1	Potri.003G069900.10.v4.1,Potri.003G069900.9.v4.1	1382.36	1213.28	290.48	23.46	18.21
Potri.003G070000.v4.1	Potri.003G070000.10.v4.1,Potri.003G070000.11.v4.1,Potri.003G070000.3.v4.1,Potri.003G070000.4.v4.1,Potri.003G070000.5.v4.1,Potri.003G070000.6.v4.1,Potri.003G070000.7.v4.1,Potri.003G070000.8.v4.1,Potri.003G070000.9.v4.1	1377.01	1207.93	13.00	1.05	0.82
Potri.003G070100.v4.1	Potri.003G070100.1.v4.1,Potri.003G070100.4.v4.1	2003.09	1834.01	165.00	8.81	6.84
Potri.003G070200.v4.1	Potri.003G070200.1.v4.1	1971.00	1801.92	28.00	1.52	1.18
Potri.003G070400.v4.1	Potri.003G070400.10.v4.1,Potri.003G070400.11.v4.1,Potri.003G070400.12.v4.1,Potri.003G070400.13.v4.1,Potri.003G070400.14.v4.1,Potri.003G070400.15.v4.1	4170.07	4000.99	140.00	3.43	2.66
Potri.003G070500.v4.1	Potri.003G070500.5.v4.1,Potri.003G070500.6.v4.1	1409.00	1239.92	32.00	2.53	1.96
Potri.003G070600.v4.1	Potri.003G070600.1.v4.1,Potri.003G070600.2.v4.1	1551.89	1382.81	567.00	40.17	31.19
Potri.003G070750.v4.1	Potri.003G070750.1.v4.1	955.00	785.92	0.00	0.00	0.00
Potri.003G070900.v4.1	Potri.003G070900.1.v4.1	1064.00	894.92	1.00	0.11	0.08
Potri.003G071000.v4.1	Potri.003G071000.1.v4.1	675.00	505.93	1.00	0.19	0.15
Potri.003G071050.v4.1	Potri.003G071050.1.v4.1	747.00	577.93	0.00	0.00	0.00
Potri.003G071100.v4.1	Potri.003G071100.1.v4.1	976.00	806.92	40.00	4.86	3.77
Potri.003G071200.v4.1	Potri.003G071200.1.v4.1	1485.00	1315.92	822.00	61.20	47.51
Potri.003G071300.v4.1	Potri.003G071300.10.v4.1,Potri.003G071300.11.v4.1,Potri.003G071300.12.v4.1,Potri.003G071300.2.v4.1,Potri.003G071300.5.v4.1,Potri.003G071300.6.v4.1,Potri.003G071300.7.v4.1,Potri.003G071300.8.v4.1,Potri.003G071300.9.v4.1	3107.18	2938.10	666.00	22.21	17.24
Potri.003G071400.v4.1	Potri.003G071400.1.v4.1	1733.00	1563.92	13.00	0.81	0.63
Potri.003G071500.v4.1	Potri.003G071500.1.v4.1	1604.00	1434.92	3.00	0.20	0.16
Potri.003G071700.v4.1	Potri.003G071700.10.v4.1,Potri.003G071700.11.v4.1,Potri.003G071700.12.v4.1,Potri.003G071700.13.v4.1,Potri.003G071700.14.v4.1,Potri.003G071700.5.v4.1,Potri.003G071700.6.v4.1,Potri.003G071700.9.v4.1	1712.31	1543.23	3492.00	221.70	172.11
Potri.003G071800.v4.1	Potri.003G071800.2.v4.1	2918.00	2748.92	414.00	14.76	11.46
Potri.003G071900.v4.1	Potri.003G071900.2.v4.1	637.00	467.93	48.00	10.05	7.80
Potri.003G072000.v4.1	Potri.003G072000.1.v4.1	661.00	491.93	0.00	0.00	0.00
Potri.003G072050.v4.1	Potri.003G072050.1.v4.1	123.00	1.94	0.00	0.00	0.00
Potri.003G072100.v4.1	Potri.003G072100.1.v4.1	1599.00	1429.92	188.00	12.88	10.00
Potri.003G072200.v4.1	Potri.003G072200.1.v4.1	1192.00	1022.92	35.00	3.35	2.60
Potri.003G072250.v4.1	Potri.003G072250.1.v4.1	108.00	0.00	0.00	0.00	0.00
Potri.003G072300.v4.1	Potri.003G072300.1.v4.1,Potri.003G072300.10.v4.1,Potri.003G072300.3.v4.1,Potri.003G072300.4.v4.1,Potri.003G072300.5.v4.1,Potri.003G072300.6.v4.1,Potri.003G072300.7.v4.1,Potri.003G072300.8.v4.1,Potri.003G072300.9.v4.1	6193.17	6024.09	1202.00	19.55	15.18
Potri.003G072400.v4.1	Potri.003G072400.1.v4.1,Potri.003G072400.3.v4.1	725.00	555.93	1.00	0.18	0.14
Potri.003G072500.v4.1	Potri.003G072500.1.v4.1	1150.00	980.92	273.00	27.27	21.17
Potri.003G072600.v4.1	Potri.003G072600.1.v4.1	2308.00	2138.92	602.00	27.58	21.41
Potri.003G072700.v4.1	Potri.003G072700.1.v4.1	2407.00	2237.92	239.00	10.46	8.12
Potri.003G072800.v4.1	Potri.003G072800.1.v4.1	2304.00	2134.92	584.00	26.80	20.81
Potri.003G073000.v4.1	Potri.003G073000.1.v4.1	3895.00	3725.92	284.00	7.47	5.80
Potri.003G073050.v4.1	Potri.003G073050.1.v4.1	591.00	421.94	0.00	0.00	0.00
Potri.003G073100.v4.1	Potri.003G073100.3.v4.1	339.00	170.63	4.00	2.30	1.78
Potri.003G073200.v4.1	Potri.003G073200.2.v4.1	1632.00	1462.92	7.00	0.47	0.36
Potri.003G073300.v4.1	Potri.003G073300.1.v4.1	1332.00	1162.92	8.00	0.67	0.52
Potri.003G073400.v4.1	Potri.003G073400.2.v4.1	2476.00	2306.92	375.00	15.93	12.36
Potri.003G073450.v4.1	Potri.003G073450.1.v4.1	987.00	817.92	0.00	0.00	0.00
